40 3
0.2343452 0.834021 0.303398 
0.2873864 0.7652664 0.6138947 
0.02040005 0.667636 0.4072459 
0.1248653 0.07163107 0.5427276 
0.1384263 0.8234465 0.2461278 
0.1957718 0.4152527 0.4237919 
0.6747329 0.6141848 0.5189181 
0.8820424 0.7631085 0.7268847 
0.4677863 0.4252656 0.8719509 
0.9536572 0.6210127 0.8700672 
0.2517272 0.3057882 0.6652044 
0.02418697 0.1896086 0.01671648 
0.9739604 0.2870351 0.582666 
0.4406204 0.5819361 0.3711691 
0.5119209 0.1805774 0.792146 
0.5595436 0.2577885 0.3517569 
0.6449284 0.2155972 0.7944928 
0.9959667 0.5404448 0.8222822 
0.07319474 0.1345516 0.8334308 
0.7463467 0.09184575 0.3874958 
0.8355104 0.8748348 0.7729994 
0.5366131 0.4519098 0.7103322 
0.3941568 0.03895736 0.9902502 
0.6730114 0.136192 0.6628988 
0.1888423 0.2898301 0.5924934 
0.8969736 0.8969607 0.4810274 
0.9631843 0.62647 0.9012203 
0.8283096 0.6726432 0.9527015 
0.7001839 0.1557475 0.6548252 
0.6119533 0.377172 0.8220092 
0.6002684 0.258894 0.9545365 
0.8716173 0.285136 0.3960881 
0.1570375 0.9473417 0.5068944 
0.7603972 0.9406101 0.08743763 
0.3453603 0.779243 0.8228743 
0.01610923 0.9002963 0.4434081 
0.3426671 0.08683133 0.373001 
0.9765368 0.4992894 0.4694786 
0.1391258 0.2770475 0.9175488 
0.05671239 0.71812 0.4046397 
0.01449204 0.03963012 0.3175027 
